,density,minority_pc,homophily,distaste,Run,cluster_count,cluster_size_avarage,happy,height,width
0,0.3,0.1,1,0.0,0,5,3.0,278,30,30
1,0.3,0.1,1,0.0,1,6,3.33,271,30,30
2,0.3,0.1,1,0.0,2,5,3.6,233,30,30
3,0.3,0.1,1,0.0,3,7,2.71,274,30,30
4,0.3,0.1,1,0.0,4,8,3.62,251,30,30
5,0.3,0.1,1,0.0,5,10,3.2,290,30,30
6,0.3,0.1,1,0.0,6,8,3.38,267,30,30
7,0.3,0.1,1,0.0,7,11,2.73,251,30,30
8,0.3,0.1,1,0.0,8,8,3.5,266,30,30
9,0.3,0.1,1,0.0,9,9,2.78,277,30,30
10,0.3,0.1,1,0.5,10,8,5.0,274,30,30
11,0.3,0.1,1,0.5,11,4,7.75,284,30,30
12,0.3,0.1,1,0.5,12,5,6.2,281,30,30
13,0.3,0.1,1,0.5,13,8,4.62,296,30,30
14,0.3,0.1,1,0.5,14,3,8.33,281,30,30
15,0.3,0.1,1,0.5,15,7,4.0,249,30,30
16,0.3,0.1,1,0.5,16,5,5.0,293,30,30
17,0.3,0.1,1,0.5,17,6,3.67,257,30,30
18,0.3,0.1,1,0.5,18,2,11.0,258,30,30
19,0.3,0.1,1,0.5,19,6,4.67,263,30,30
20,0.3,0.1,1,1.0,20,2,9.5,275,30,30
21,0.3,0.1,1,1.0,21,4,7.25,313,30,30
22,0.3,0.1,1,1.0,22,5,5.2,267,30,30
23,0.3,0.1,1,1.0,23,2,9.5,285,30,30
24,0.3,0.1,1,1.0,24,6,4.33,287,30,30
25,0.3,0.1,1,1.0,25,2,8.5,269,30,30
26,0.3,0.1,1,1.0,26,8,4.38,284,30,30
27,0.3,0.1,1,1.0,27,3,9.33,262,30,30
28,0.3,0.1,1,1.0,28,5,4.4,258,30,30
29,0.3,0.1,1,1.0,29,2,12.0,275,30,30
30,0.3,0.1,1,1.5,30,6,4.5,266,30,30
31,0.3,0.1,1,1.5,31,8,3.62,260,30,30
32,0.3,0.1,1,1.5,32,6,5.83,278,30,30
33,0.3,0.1,1,1.5,33,6,5.67,285,30,30
34,0.3,0.1,1,1.5,34,8,4.62,271,30,30
35,0.3,0.1,1,1.5,35,7,4.71,254,30,30
36,0.3,0.1,1,1.5,36,4,8.0,285,30,30
37,0.3,0.1,1,1.5,37,7,3.14,271,30,30
38,0.3,0.1,1,1.5,38,4,7.75,270,30,30
39,0.3,0.1,1,1.5,39,7,5.57,282,30,30
40,0.3,0.1,1,2.0,40,6,4.67,283,30,30
41,0.3,0.1,1,2.0,41,9,3.33,274,30,30
42,0.3,0.1,1,2.0,42,7,3.71,251,30,30
43,0.3,0.1,1,2.0,43,6,5.0,274,30,30
